               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.026349,           0.0092109,           0.0007908,             0.98829,             0.99318,             0.99491,             0.78885,            0.018912,           0.0033386,          0.00039439,            0.002773,            0.002773,            0.002773
                  75,            0.027212,           0.0089786,          0.00097171,             0.98385,             0.98087,             0.99474,             0.80083,            0.017651,           0.0033151,          0.00037145,            0.002674,            0.002674,            0.002674
                  76,            0.025062,           0.0094734,           0.0011144,             0.97417,             0.98845,             0.99474,             0.78865,            0.016331,           0.0033005,          0.00036882,            0.002575,            0.002575,            0.002575
                  77,            0.026185,           0.0085191,          0.00071649,             0.98634,             0.97721,             0.99466,             0.80318,             0.01697,           0.0032765,          0.00035292,            0.002476,            0.002476,            0.002476
                  78,             0.02461,           0.0094492,          0.00079939,             0.98526,             0.97673,             0.99466,             0.80184,            0.016736,           0.0032065,          0.00033699,            0.002377,            0.002377,            0.002377
                  79,            0.025041,            0.010117,          0.00098997,             0.98007,             0.98779,             0.99474,             0.80039,            0.017186,           0.0031947,          0.00032333,            0.002278,            0.002278,            0.002278
                  80,            0.023394,           0.0093067,          0.00081915,             0.98249,             0.99907,             0.99483,             0.80398,            0.016516,           0.0031258,           0.0003026,            0.002179,            0.002179,            0.002179
                  81,            0.025731,            0.010462,           0.0007555,             0.97949,                   1,             0.99483,             0.81322,            0.015814,           0.0030829,          0.00028264,             0.00208,             0.00208,             0.00208
                  82,            0.023035,           0.0089234,          0.00069994,             0.97875,                   1,             0.99483,             0.81495,            0.015328,           0.0030304,          0.00027404,            0.001981,            0.001981,            0.001981
                  83,            0.023502,           0.0092008,           0.0007244,              0.9794,                   1,             0.99483,             0.79803,            0.015656,           0.0030448,          0.00025715,            0.001882,            0.001882,            0.001882
                  84,            0.022864,           0.0097169,          0.00062475,             0.97781,                   1,             0.99483,             0.80714,              0.0154,           0.0030242,          0.00025202,            0.001783,            0.001783,            0.001783
                  85,            0.021463,           0.0083025,          0.00045073,             0.97764,                   1,             0.99491,             0.80659,            0.015529,           0.0030452,           0.0002404,            0.001684,            0.001684,            0.001684
                  86,            0.019865,           0.0092876,           0.0004301,             0.97598,                   1,             0.99491,             0.82295,            0.015166,            0.003034,          0.00023776,            0.001585,            0.001585,            0.001585
                  87,            0.021603,            0.008114,          0.00050527,             0.97552,                   1,             0.99491,             0.82541,            0.014881,           0.0030199,          0.00023399,            0.001486,            0.001486,            0.001486
                  88,            0.021664,           0.0093882,          0.00092032,               0.973,                   1,               0.995,             0.83228,            0.014527,           0.0029925,          0.00023367,            0.001387,            0.001387,            0.001387
                  89,            0.022108,           0.0093418,          0.00043943,               0.986,              0.9884,               0.995,             0.83702,            0.014796,           0.0029383,          0.00023061,            0.001288,            0.001288,            0.001288
                  90,            0.020557,           0.0090265,          0.00055784,             0.99727,             0.98899,               0.995,             0.83704,              0.0144,           0.0029083,          0.00022917,            0.001189,            0.001189,            0.001189
                  91,            0.020805,           0.0084786,          0.00055942,                   1,             0.99147,               0.995,              0.8317,            0.014667,           0.0028872,          0.00022163,             0.00109,             0.00109,             0.00109
                  92,            0.023003,           0.0096385,          0.00051162,             0.99136,             0.99202,             0.99491,             0.83596,            0.014566,           0.0028708,          0.00021881,            0.000991,            0.000991,            0.000991
                  93,            0.021615,           0.0077761,          0.00041345,             0.99017,             0.99389,             0.99491,             0.84167,            0.014328,           0.0028548,          0.00021797,            0.000892,            0.000892,            0.000892
                  94,            0.021044,           0.0080624,          0.00060277,             0.98385,             0.99598,             0.99491,                0.84,            0.014046,           0.0028483,          0.00021599,            0.000793,            0.000793,            0.000793
                  95,            0.021652,           0.0076759,          0.00050103,             0.98372,             0.99605,             0.99491,             0.84432,            0.013866,           0.0028375,          0.00021289,            0.000694,            0.000694,            0.000694
                  96,             0.02042,           0.0093392,          0.00054375,             0.99429,             0.99306,               0.995,             0.84264,              0.0137,           0.0028188,          0.00020831,            0.000595,            0.000595,            0.000595
                  97,             0.02128,           0.0083125,          0.00039201,             0.99264,             0.99295,               0.995,             0.84204,            0.013657,           0.0028052,          0.00020615,            0.000496,            0.000496,            0.000496
                  98,            0.021897,           0.0096146,             0.00115,               0.992,              0.9925,               0.995,             0.84043,            0.013657,           0.0028048,          0.00020331,            0.000397,            0.000397,            0.000397
                  99,            0.020448,           0.0073564,          0.00057637,             0.99321,              0.9914,               0.995,             0.84795,            0.013459,           0.0028058,          0.00019941,            0.000298,            0.000298,            0.000298
